"Step","370M_seed42_case3_dclm_repeat_wd0.4_lr0.001 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd0.4_lr0.001 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd0.4_lr0.001 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd1.6_lr0.003 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd1.6_lr0.003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd1.6_lr0.003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd0.4_lr0.003 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd0.4_lr0.003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd0.4_lr0.003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd1.6_lr0.0006 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd1.6_lr0.0006 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd1.6_lr0.0006 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd1.6_lr0.001 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd1.6_lr0.001 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd1.6_lr0.001 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd1.6_lr0.0003 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd1.6_lr0.0003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd1.6_lr0.0003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd0.4_lr0.0006 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd0.4_lr0.0006 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd0.4_lr0.0006 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd0.4_lr0.0003 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd0.4_lr0.0003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd0.4_lr0.0003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd0.1_lr0.001 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd0.1_lr0.001 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd0.1_lr0.001 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd0.1_lr0.0006 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd0.1_lr0.0006 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd0.1_lr0.0006 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd0.1_lr0.003 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd0.1_lr0.003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd0.1_lr0.003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case3_dclm_repeat_wd0.1_lr0.0003 - eval/lm/dclm-validation/CE loss","370M_seed42_case3_dclm_repeat_wd0.1_lr0.0003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case3_dclm_repeat_wd0.1_lr0.0003 - eval/lm/dclm-validation/CE loss__MAX"
"50","6.722901344299316","6.722901344299316","6.722901344299316","7.073447227478027","7.073447227478027","7.073447227478027","6.830466270446777","6.830466270446777","6.830466270446777","6.852680206298828","6.852680206298828","6.852680206298828","6.814263820648193","6.814263820648193","6.814263820648193","7.183300971984863","7.183300971984863","7.183300971984863","6.871976375579834","6.871976375579834","6.871976375579834","7.1674885749816895","7.1674885749816895","7.1674885749816895","6.7848076820373535","6.7848076820373535","6.7848076820373535","","","","6.8657026290893555","6.8657026290893555","6.8657026290893555","7.1747050285339355","7.1747050285339355","7.1747050285339355"
"100","6.108548164367676","6.108548164367676","6.108548164367676","6.40045690536499","6.40045690536499","6.40045690536499","6.267394065856934","6.267394065856934","6.267394065856934","6.103928565979004","6.103928565979004","6.103928565979004","6.226538181304932","6.226538181304932","6.226538181304932","6.222019672393799","6.222019672393799","6.222019672393799","6.089030742645264","6.089030742645264","6.089030742645264","6.219483375549316","6.219483375549316","6.219483375549316","6.162865161895752","6.162865161895752","6.162865161895752","","","","6.308778762817383","6.308778762817383","6.308778762817383","6.201265335083008","6.201265335083008","6.201265335083008"
"150","5.6599297523498535","5.6599297523498535","5.6599297523498535","6.074392795562744","6.074392795562744","6.074392795562744","5.937782287597656","5.937782287597656","5.937782287597656","5.725492477416992","5.725492477416992","5.725492477416992","5.778753757476807","5.778753757476807","5.778753757476807","5.727227210998535","5.727227210998535","5.727227210998535","5.650576591491699","5.650576591491699","5.650576591491699","5.703608512878418","5.703608512878418","5.703608512878418","5.686151027679443","5.686151027679443","5.686151027679443","","","","5.920487880706787","5.920487880706787","5.920487880706787","5.69840145111084","5.69840145111084","5.69840145111084"
"200","5.326062202453613","5.326062202453613","5.326062202453613","5.781032085418701","5.781032085418701","5.781032085418701","5.590573787689209","5.590573787689209","5.590573787689209","5.335061550140381","5.335061550140381","5.335061550140381","5.459510803222656","5.459510803222656","5.459510803222656","5.438623428344727","5.438623428344727","5.438623428344727","5.343306064605713","5.343306064605713","5.343306064605713","5.385653972625732","5.385653972625732","5.385653972625732","5.339456081390381","5.339456081390381","5.339456081390381","","","","5.558360576629639","5.558360576629639","5.558360576629639","5.379965305328369","5.379965305328369","5.379965305328369"
"250","5.031832218170166","5.031832218170166","5.031832218170166","5.515036582946777","5.515036582946777","5.515036582946777","5.3149261474609375","5.3149261474609375","5.3149261474609375","5.039037227630615","5.039037227630615","5.039037227630615","5.1981730461120605","5.1981730461120605","5.1981730461120605","5.1724653244018555","5.1724653244018555","5.1724653244018555","4.983550548553467","4.983550548553467","4.983550548553467","5.134039402008057","5.134039402008057","5.134039402008057","4.979170322418213","4.979170322418213","4.979170322418213","","","","5.267553329467773","5.267553329467773","5.267553329467773","5.119451999664307","5.119451999664307","5.119451999664307"
"300","4.727402210235596","4.727402210235596","4.727402210235596","5.309628486633301","5.309628486633301","5.309628486633301","5.025810241699219","5.025810241699219","5.025810241699219","4.800820350646973","4.800820350646973","4.800820350646973","4.907214164733887","4.907214164733887","4.907214164733887","4.9590911865234375","4.9590911865234375","4.9590911865234375","4.763626575469971","4.763626575469971","4.763626575469971","4.923550605773926","4.923550605773926","4.923550605773926","4.728655815124512","4.728655815124512","4.728655815124512","","","","4.953200817108154","4.953200817108154","4.953200817108154","4.941190719604492","4.941190719604492","4.941190719604492"
"350","4.513974189758301","4.513974189758301","4.513974189758301","5.11751127243042","5.11751127243042","5.11751127243042","4.787617206573486","4.787617206573486","4.787617206573486","4.6520843505859375","4.6520843505859375","4.6520843505859375","4.743291854858398","4.743291854858398","4.743291854858398","4.814101696014404","4.814101696014404","4.814101696014404","4.553792476654053","4.553792476654053","4.553792476654053","4.7945990562438965","4.7945990562438965","4.7945990562438965","4.540348052978516","4.540348052978516","4.540348052978516","","","","4.7413458824157715","4.7413458824157715","4.7413458824157715","4.778690338134766","4.778690338134766","4.778690338134766"
"400","4.32456111907959","4.32456111907959","4.32456111907959","4.9767022132873535","4.9767022132873535","4.9767022132873535","4.610376834869385","4.610376834869385","4.610376834869385","4.477077484130859","4.477077484130859","4.477077484130859","4.511826515197754","4.511826515197754","4.511826515197754","4.664790153503418","4.664790153503418","4.664790153503418","4.376156330108643","4.376156330108643","4.376156330108643","4.617506980895996","4.617506980895996","4.617506980895996","4.29819917678833","4.29819917678833","4.29819917678833","4.395261764526367","4.395261764526367","4.395261764526367","4.524461269378662","4.524461269378662","4.524461269378662","4.602476596832275","4.602476596832275","4.602476596832275"
"450","4.208860397338867","4.208860397338867","4.208860397338867","4.855374336242676","4.855374336242676","4.855374336242676","4.408533096313477","4.408533096313477","4.408533096313477","4.325210094451904","4.325210094451904","4.325210094451904","4.3756303787231445","4.3756303787231445","4.3756303787231445","4.52509069442749","4.52509069442749","4.52509069442749","4.250877380371094","4.250877380371094","4.250877380371094","4.498893737792969","4.498893737792969","4.498893737792969","4.164907932281494","4.164907932281494","4.164907932281494","4.268576145172119","4.268576145172119","4.268576145172119","4.345923900604248","4.345923900604248","4.345923900604248","4.495278835296631","4.495278835296631","4.495278835296631"
"500","4.067867279052734","4.067867279052734","4.067867279052734","4.754247665405273","4.754247665405273","4.754247665405273","4.244654178619385","4.244654178619385","4.244654178619385","4.235476016998291","4.235476016998291","4.235476016998291","4.254042625427246","4.254042625427246","4.254042625427246","4.4432477951049805","4.4432477951049805","4.4432477951049805","4.135811805725098","4.135811805725098","4.135811805725098","4.404999256134033","4.404999256134033","4.404999256134033","4.058164596557617","4.058164596557617","4.058164596557617","4.134387969970703","4.134387969970703","4.134387969970703","4.16681432723999","4.16681432723999","4.16681432723999","4.394256591796875","4.394256591796875","4.394256591796875"
"550","3.98406982421875","3.98406982421875","3.98406982421875","4.655731201171875","4.655731201171875","4.655731201171875","4.128697872161865","4.128697872161865","4.128697872161865","4.122750282287598","4.122750282287598","4.122750282287598","4.175694465637207","4.175694465637207","4.175694465637207","4.347743034362793","4.347743034362793","4.347743034362793","4.0507941246032715","4.0507941246032715","4.0507941246032715","4.319600582122803","4.319600582122803","4.319600582122803","3.9474096298217773","3.9474096298217773","3.9474096298217773","4.058228969573975","4.058228969573975","4.058228969573975","4.065164089202881","4.065164089202881","4.065164089202881","4.307476997375488","4.307476997375488","4.307476997375488"
"600","3.895857810974121","3.895857810974121","3.895857810974121","4.565808296203613","4.565808296203613","4.565808296203613","4.036410331726074","4.036410331726074","4.036410331726074","4.055930137634277","4.055930137634277","4.055930137634277","4.096565246582031","4.096565246582031","4.096565246582031","4.269219398498535","4.269219398498535","4.269219398498535","3.992180585861206","3.992180585861206","3.992180585861206","4.249040126800537","4.249040126800537","4.249040126800537","3.891738176345825","3.891738176345825","3.891738176345825","3.9755115509033203","3.9755115509033203","3.9755115509033203","3.9701952934265137","3.9701952934265137","3.9701952934265137","4.240468502044678","4.240468502044678","4.240468502044678"
"650","3.8723297119140625","3.8723297119140625","3.8723297119140625","4.483981132507324","4.483981132507324","4.483981132507324","3.9829823970794678","3.9829823970794678","3.9829823970794678","4.009852886199951","4.009852886199951","4.009852886199951","4.0524492263793945","4.0524492263793945","4.0524492263793945","4.234376430511475","4.234376430511475","4.234376430511475","3.949166774749756","3.949166774749756","3.949166774749756","4.212658882141113","4.212658882141113","4.212658882141113","3.8631210327148438","3.8631210327148438","3.8631210327148438","3.9193806648254395","3.9193806648254395","3.9193806648254395","3.895834445953369","3.895834445953369","3.895834445953369","4.207068920135498","4.207068920135498","4.207068920135498"
"700","3.8188767433166504","3.8188767433166504","3.8188767433166504","4.402558326721191","4.402558326721191","4.402558326721191","3.9007182121276855","3.9007182121276855","3.9007182121276855","3.9726264476776123","3.9726264476776123","3.9726264476776123","3.9993200302124023","3.9993200302124023","3.9993200302124023","4.181933403015137","4.181933403015137","4.181933403015137","3.8969318866729736","3.8969318866729736","3.8969318866729736","4.163928985595703","4.163928985595703","4.163928985595703","3.797353982925415","3.797353982925415","3.797353982925415","3.875678539276123","3.875678539276123","3.875678539276123","3.8410141468048096","3.8410141468048096","3.8410141468048096","4.152162551879883","4.152162551879883","4.152162551879883"
"750","3.77308988571167","3.77308988571167","3.77308988571167","4.369057655334473","4.369057655334473","4.369057655334473","3.86271333694458","3.86271333694458","3.86271333694458","3.9228031635284424","3.9228031635284424","3.9228031635284424","3.950671911239624","3.950671911239624","3.950671911239624","4.133230686187744","4.133230686187744","4.133230686187744","3.8624813556671143","3.8624813556671143","3.8624813556671143","4.113885879516602","4.113885879516602","4.113885879516602","3.7498927116394043","3.7498927116394043","3.7498927116394043","3.8352866172790527","3.8352866172790527","3.8352866172790527","3.785654306411743","3.785654306411743","3.785654306411743","4.1122636795043945","4.1122636795043945","4.1122636795043945"
"800","3.738870143890381","3.738870143890381","3.738870143890381","4.266535758972168","4.266535758972168","4.266535758972168","3.805420160293579","3.805420160293579","3.805420160293579","3.8851521015167236","3.8851521015167236","3.8851521015167236","3.9166924953460693","3.9166924953460693","3.9166924953460693","4.104128360748291","4.104128360748291","4.104128360748291","3.812608242034912","3.812608242034912","3.812608242034912","4.077617645263672","4.077617645263672","4.077617645263672","3.7210631370544434","3.7210631370544434","3.7210631370544434","3.791449546813965","3.791449546813965","3.791449546813965","3.7443225383758545","3.7443225383758545","3.7443225383758545","4.080667972564697","4.080667972564697","4.080667972564697"
"850","3.6908133029937744","3.6908133029937744","3.6908133029937744","4.219104290008545","4.219104290008545","4.219104290008545","3.74930477142334","3.74930477142334","3.74930477142334","","","","3.8659145832061768","3.8659145832061768","3.8659145832061768","4.063581943511963","4.063581943511963","4.063581943511963","3.7819905281066895","3.7819905281066895","3.7819905281066895","4.039179801940918","4.039179801940918","4.039179801940918","3.6911110877990723","3.6911110877990723","3.6911110877990723","3.763132095336914","3.763132095336914","3.763132095336914","3.723738670349121","3.723738670349121","3.723738670349121","4.0384135246276855","4.0384135246276855","4.0384135246276855"
"900","3.6573662757873535","3.6573662757873535","3.6573662757873535","4.199391841888428","4.199391841888428","4.199391841888428","3.7067294120788574","3.7067294120788574","3.7067294120788574","3.8089866638183594","3.8089866638183594","3.8089866638183594","3.8225345611572266","3.8225345611572266","3.8225345611572266","4.02032470703125","4.02032470703125","4.02032470703125","3.7451508045196533","3.7451508045196533","3.7451508045196533","4.003360748291016","4.003360748291016","4.003360748291016","3.6541292667388916","3.6541292667388916","3.6541292667388916","3.7242636680603027","3.7242636680603027","3.7242636680603027","3.6706223487854004","3.6706223487854004","3.6706223487854004","4.006043910980225","4.006043910980225","4.006043910980225"
"950","3.6361398696899414","3.6361398696899414","3.6361398696899414","4.1450629234313965","4.1450629234313965","4.1450629234313965","3.6665310859680176","3.6665310859680176","3.6665310859680176","3.7728850841522217","3.7728850841522217","3.7728850841522217","3.8064706325531006","3.8064706325531006","3.8064706325531006","3.9770774841308594","3.9770774841308594","3.9770774841308594","3.7290661334991455","3.7290661334991455","3.7290661334991455","3.9768357276916504","3.9768357276916504","3.9768357276916504","3.6245980262756348","3.6245980262756348","3.6245980262756348","3.6973042488098145","3.6973042488098145","3.6973042488098145","3.6220226287841797","3.6220226287841797","3.6220226287841797","3.9762439727783203","3.9762439727783203","3.9762439727783203"
"1000","3.5886263847351074","3.5886263847351074","3.5886263847351074","4.087001323699951","4.087001323699951","4.087001323699951","3.626019239425659","3.626019239425659","3.626019239425659","3.748558521270752","3.748558521270752","3.748558521270752","3.7465031147003174","3.7465031147003174","3.7465031147003174","3.945437431335449","3.945437431335449","3.945437431335449","3.6827917098999023","3.6827917098999023","3.6827917098999023","3.9370505809783936","3.9370505809783936","3.9370505809783936","3.5905513763427734","3.5905513763427734","3.5905513763427734","3.696629285812378","3.696629285812378","3.696629285812378","3.591308355331421","3.591308355331421","3.591308355331421","3.943608522415161","3.943608522415161","3.943608522415161"
"1050","3.563425064086914","3.563425064086914","3.563425064086914","4.015906810760498","4.015906810760498","4.015906810760498","3.5963375568389893","3.5963375568389893","3.5963375568389893","3.710374593734741","3.710374593734741","3.710374593734741","3.7264180183410645","3.7264180183410645","3.7264180183410645","3.9280807971954346","3.9280807971954346","3.9280807971954346","3.6601648330688477","3.6601648330688477","3.6601648330688477","3.916236162185669","3.916236162185669","3.916236162185669","3.5673866271972656","3.5673866271972656","3.5673866271972656","3.67781925201416","3.67781925201416","3.67781925201416","3.558375835418701","3.558375835418701","3.558375835418701","3.91296124458313","3.91296124458313","3.91296124458313"
"1100","3.5429434776306152","3.5429434776306152","3.5429434776306152","3.9635016918182373","3.9635016918182373","3.9635016918182373","3.5695395469665527","3.5695395469665527","3.5695395469665527","3.6887083053588867","3.6887083053588867","3.6887083053588867","3.695160150527954","3.695160150527954","3.695160150527954","3.885366916656494","3.885366916656494","3.885366916656494","3.639887571334839","3.639887571334839","3.639887571334839","3.889253854751587","3.889253854751587","3.889253854751587","3.5444459915161133","3.5444459915161133","3.5444459915161133","3.65910267829895","3.65910267829895","3.65910267829895","3.5296707153320312","3.5296707153320312","3.5296707153320312","3.891691207885742","3.891691207885742","3.891691207885742"
"1150","3.5158138275146484","3.5158138275146484","3.5158138275146484","3.913968563079834","3.913968563079834","3.913968563079834","3.530240535736084","3.530240535736084","3.530240535736084","3.6562623977661133","3.6562623977661133","3.6562623977661133","3.6638498306274414","3.6638498306274414","3.6638498306274414","3.871415138244629","3.871415138244629","3.871415138244629","3.608905076980591","3.608905076980591","3.608905076980591","3.859191656112671","3.859191656112671","3.859191656112671","3.5183725357055664","3.5183725357055664","3.5183725357055664","3.6520497798919678","3.6520497798919678","3.6520497798919678","3.494572639465332","3.494572639465332","3.494572639465332","3.8625478744506836","3.8625478744506836","3.8625478744506836"
"1200","3.4955999851226807","3.4955999851226807","3.4955999851226807","3.8951377868652344","3.8951377868652344","3.8951377868652344","3.508448600769043","3.508448600769043","3.508448600769043","3.6393706798553467","3.6393706798553467","3.6393706798553467","3.631967067718506","3.631967067718506","3.631967067718506","3.8554694652557373","3.8554694652557373","3.8554694652557373","3.595289945602417","3.595289945602417","3.595289945602417","3.846409797668457","3.846409797668457","3.846409797668457","3.5037925243377686","3.5037925243377686","3.5037925243377686","3.6297552585601807","3.6297552585601807","3.6297552585601807","3.4792721271514893","3.4792721271514893","3.4792721271514893","3.8509700298309326","3.8509700298309326","3.8509700298309326"
"1250","3.4903907775878906","3.4903907775878906","3.4903907775878906","3.8546814918518066","3.8546814918518066","3.8546814918518066","3.4912962913513184","3.4912962913513184","3.4912962913513184","3.626204013824463","3.626204013824463","3.626204013824463","3.619182825088501","3.619182825088501","3.619182825088501","3.84517240524292","3.84517240524292","3.84517240524292","3.585660934448242","3.585660934448242","3.585660934448242","3.833719253540039","3.833719253540039","3.833719253540039","3.4932379722595215","3.4932379722595215","3.4932379722595215","3.6145095825195312","3.6145095825195312","3.6145095825195312","3.467453718185425","3.467453718185425","3.467453718185425","3.83842396736145","3.83842396736145","3.83842396736145"
"1300","3.467716932296753","3.467716932296753","3.467716932296753","3.8170289993286133","3.8170289993286133","3.8170289993286133","3.4690744876861572","3.4690744876861572","3.4690744876861572","3.6076061725616455","3.6076061725616455","3.6076061725616455","3.604323387145996","3.604323387145996","3.604323387145996","3.8253002166748047","3.8253002166748047","3.8253002166748047","3.5688703060150146","3.5688703060150146","3.5688703060150146","3.8234918117523193","3.8234918117523193","3.8234918117523193","3.4751899242401123","3.4751899242401123","3.4751899242401123","3.5922651290893555","3.5922651290893555","3.5922651290893555","3.4459447860717773","3.4459447860717773","3.4459447860717773","3.8261303901672363","3.8261303901672363","3.8261303901672363"
"1350","3.461422920227051","3.461422920227051","3.461422920227051","3.7999749183654785","3.7999749183654785","3.7999749183654785","3.457273483276367","3.457273483276367","3.457273483276367","3.5925159454345703","3.5925159454345703","3.5925159454345703","3.5807461738586426","3.5807461738586426","3.5807461738586426","3.810636520385742","3.810636520385742","3.810636520385742","3.5608701705932617","3.5608701705932617","3.5608701705932617","3.8095576763153076","3.8095576763153076","3.8095576763153076","3.4695467948913574","3.4695467948913574","3.4695467948913574","3.579204797744751","3.579204797744751","3.579204797744751","3.438231945037842","3.438231945037842","3.438231945037842","3.813136100769043","3.813136100769043","3.813136100769043"
"1400","3.44207763671875","3.44207763671875","3.44207763671875","3.75295090675354","3.75295090675354","3.75295090675354","3.4362757205963135","3.4362757205963135","3.4362757205963135","3.5731749534606934","3.5731749534606934","3.5731749534606934","3.5607244968414307","3.5607244968414307","3.5607244968414307","3.7966296672821045","3.7966296672821045","3.7966296672821045","3.5422005653381348","3.5422005653381348","3.5422005653381348","3.7946486473083496","3.7946486473083496","3.7946486473083496","3.4494659900665283","3.4494659900665283","3.4494659900665283","3.567193031311035","3.567193031311035","3.567193031311035","3.4165825843811035","3.4165825843811035","3.4165825843811035","3.797744035720825","3.797744035720825","3.797744035720825"
"1450","3.4310061931610107","3.4310061931610107","3.4310061931610107","3.728858232498169","3.728858232498169","3.728858232498169","3.4196929931640625","3.4196929931640625","3.4196929931640625","3.5614967346191406","3.5614967346191406","3.5614967346191406","3.5461723804473877","3.5461723804473877","3.5461723804473877","3.809410572052002","3.809410572052002","3.809410572052002","3.535341739654541","3.535341739654541","3.535341739654541","3.7841391563415527","3.7841391563415527","3.7841391563415527","3.4389991760253906","3.4389991760253906","3.4389991760253906","3.545611619949341","3.545611619949341","3.545611619949341","3.403650999069214","3.403650999069214","3.403650999069214","3.789111614227295","3.789111614227295","3.789111614227295"
"1500","3.4474661350250244","3.4474661350250244","3.4474661350250244","3.7268974781036377","3.7268974781036377","3.7268974781036377","3.4313504695892334","3.4313504695892334","3.4313504695892334","3.5777018070220947","3.5777018070220947","3.5777018070220947","3.5528597831726074","3.5528597831726074","3.5528597831726074","3.8008546829223633","3.8008546829223633","3.8008546829223633","3.548292875289917","3.548292875289917","3.548292875289917","3.798912525177002","3.798912525177002","3.798912525177002","3.4564521312713623","3.4564521312713623","3.4564521312713623","3.5398006439208984","3.5398006439208984","3.5398006439208984","3.4179680347442627","3.4179680347442627","3.4179680347442627","3.803759813308716","3.803759813308716","3.803759813308716"
"1550","3.4344940185546875","3.4344940185546875","3.4344940185546875","3.7002241611480713","3.7002241611480713","3.7002241611480713","3.415989398956299","3.415989398956299","3.415989398956299","3.563826322555542","3.563826322555542","3.563826322555542","3.538620710372925","3.538620710372925","3.538620710372925","3.7952029705047607","3.7952029705047607","3.7952029705047607","3.5392210483551025","3.5392210483551025","3.5392210483551025","3.791717290878296","3.791717290878296","3.791717290878296","3.444443464279175","3.444443464279175","3.444443464279175","3.5390465259552","3.5390465259552","3.5390465259552","3.4047603607177734","3.4047603607177734","3.4047603607177734","3.7959675788879395","3.7959675788879395","3.7959675788879395"
"1600","3.43290114402771","3.43290114402771","3.43290114402771","3.690734386444092","3.690734386444092","3.690734386444092","3.412005662918091","3.412005662918091","3.412005662918091","3.560659646987915","3.560659646987915","3.560659646987915","3.5345776081085205","3.5345776081085205","3.5345776081085205","3.794342279434204","3.794342279434204","3.794342279434204","3.537245512008667","3.537245512008667","3.537245512008667","3.788329839706421","3.788329839706421","3.788329839706421","3.4428555965423584","3.4428555965423584","3.4428555965423584","3.5290441513061523","3.5290441513061523","3.5290441513061523","3.4018070697784424","3.4018070697784424","3.4018070697784424","3.7927613258361816","3.7927613258361816","3.7927613258361816"
"1650","3.4386093616485596","3.4386093616485596","3.4386093616485596","3.679969310760498","3.679969310760498","3.679969310760498","3.416367530822754","3.416367530822754","3.416367530822754","3.5619165897369385","3.5619165897369385","3.5619165897369385","3.5340893268585205","3.5340893268585205","3.5340893268585205","3.783085346221924","3.783085346221924","3.783085346221924","3.541951894760132","3.541951894760132","3.541951894760132","3.7895567417144775","3.7895567417144775","3.7895567417144775","3.449016571044922","3.449016571044922","3.449016571044922","3.528324842453003","3.528324842453003","3.528324842453003","3.40730619430542","3.40730619430542","3.40730619430542","3.7944705486297607","3.7944705486297607","3.7944705486297607"
"1700","3.430217981338501","3.430217981338501","3.430217981338501","3.662782669067383","3.662782669067383","3.662782669067383","3.4055492877960205","3.4055492877960205","3.4055492877960205","3.553307056427002","3.553307056427002","3.553307056427002","3.5253043174743652","3.5253043174743652","3.5253043174743652","3.755277395248413","3.755277395248413","3.755277395248413","3.5333220958709717","3.5333220958709717","3.5333220958709717","3.779327869415283","3.779327869415283","3.779327869415283","3.441067695617676","3.441067695617676","3.441067695617676","3.517266035079956","3.517266035079956","3.517266035079956","3.3987550735473633","3.3987550735473633","3.3987550735473633","3.786168098449707","3.786168098449707","3.786168098449707"
"1750","3.400195598602295","3.400195598602295","3.400195598602295","3.6302976608276367","3.6302976608276367","3.6302976608276367","3.3770132064819336","3.3770132064819336","3.3770132064819336","3.5239155292510986","3.5239155292510986","3.5239155292510986","3.4928743839263916","3.4928743839263916","3.4928743839263916","3.7455406188964844","3.7455406188964844","3.7455406188964844","3.50420880317688","3.50420880317688","3.50420880317688","3.752624273300171","3.752624273300171","3.752624273300171","3.411801815032959","3.411801815032959","3.411801815032959","3.5118303298950195","3.5118303298950195","3.5118303298950195","3.368563175201416","3.368563175201416","3.368563175201416","3.757239580154419","3.757239580154419","3.757239580154419"