"Step","370M_seed42_case4_dclm_extended_wd1.6_lr0.003 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd1.6_lr0.003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd1.6_lr0.003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd1.6_lr0.001 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd1.6_lr0.001 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd1.6_lr0.001 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd1.6_lr0.0006 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd1.6_lr0.0006 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd1.6_lr0.0006 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd1.6_lr0.0003 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd1.6_lr0.0003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd1.6_lr0.0003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd0.4_lr0.003 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd0.4_lr0.003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd0.4_lr0.003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd0.4_lr0.001 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd0.4_lr0.001 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd0.4_lr0.001 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd0.4_lr0.0006 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd0.4_lr0.0006 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd0.4_lr0.0006 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd0.1_lr0.001 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd0.1_lr0.001 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd0.1_lr0.001 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd0.4_lr0.0003 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd0.4_lr0.0003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd0.4_lr0.0003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd0.1_lr0.0003 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd0.1_lr0.0003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd0.1_lr0.0003 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd0.1_lr0.0006 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd0.1_lr0.0006 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd0.1_lr0.0006 - eval/lm/dclm-validation/CE loss__MAX","370M_seed42_case4_dclm_extended_wd0.1_lr0.003 - eval/lm/dclm-validation/CE loss","370M_seed42_case4_dclm_extended_wd0.1_lr0.003 - eval/lm/dclm-validation/CE loss__MIN","370M_seed42_case4_dclm_extended_wd0.1_lr0.003 - eval/lm/dclm-validation/CE loss__MAX"
"50","7.100888252258301","7.100888252258301","7.100888252258301","6.751675128936768","6.751675128936768","6.751675128936768","6.835700511932373","6.835700511932373","6.835700511932373","7.209040641784668","7.209040641784668","7.209040641784668","6.82261323928833","6.82261323928833","6.82261323928833","6.723121166229248","6.723121166229248","6.723121166229248","6.867429256439209","6.867429256439209","6.867429256439209","6.852316379547119","6.852316379547119","6.852316379547119","7.204424858093262","7.204424858093262","7.204424858093262","7.20723819732666","7.20723819732666","7.20723819732666","6.882025241851807","6.882025241851807","6.882025241851807","6.836456775665283","6.836456775665283","6.836456775665283"
"100","6.34849214553833","6.34849214553833","6.34849214553833","6.168665409088135","6.168665409088135","6.168665409088135","6.094095706939697","6.094095706939697","6.094095706939697","6.284206390380859","6.284206390380859","6.284206390380859","6.319437026977539","6.319437026977539","6.319437026977539","6.104304790496826","6.104304790496826","6.104304790496826","6.099126815795898","6.099126815795898","6.099126815795898","6.111879825592041","6.111879825592041","6.111879825592041","6.2053542137146","6.2053542137146","6.2053542137146","6.210269927978516","6.210269927978516","6.210269927978516","6.160222053527832","6.160222053527832","6.160222053527832","6.374049663543701","6.374049663543701","6.374049663543701"
"150","5.94333553314209","5.94333553314209","5.94333553314209","5.791970729827881","5.791970729827881","5.791970729827881","5.62775182723999","5.62775182723999","5.62775182723999","5.710025310516357","5.710025310516357","5.710025310516357","5.887472152709961","5.887472152709961","5.887472152709961","5.653547763824463","5.653547763824463","5.653547763824463","5.616178512573242","5.616178512573242","5.616178512573242","5.7078537940979","5.7078537940979","5.7078537940979","5.723885536193848","5.723885536193848","5.723885536193848","5.729062557220459","5.729062557220459","5.729062557220459","5.744775295257568","5.744775295257568","5.744775295257568","5.959105014801025","5.959105014801025","5.959105014801025"
"200","5.683069229125977","5.683069229125977","5.683069229125977","5.401336669921875","5.401336669921875","5.401336669921875","5.317702293395996","5.317702293395996","5.317702293395996","5.430865287780762","5.430865287780762","5.430865287780762","5.597553730010986","5.597553730010986","5.597553730010986","5.29588508605957","5.29588508605957","5.29588508605957","5.274906158447266","5.274906158447266","5.274906158447266","5.340516567230225","5.340516567230225","5.340516567230225","5.3765950202941895","5.3765950202941895","5.3765950202941895","5.397860050201416","5.397860050201416","5.397860050201416","5.323385715484619","5.323385715484619","5.323385715484619","5.6010355949401855","5.6010355949401855","5.6010355949401855"
"250","5.49214506149292","5.49214506149292","5.49214506149292","5.117205619812012","5.117205619812012","5.117205619812012","5.040284633636475","5.040284633636475","5.040284633636475","5.15212345123291","5.15212345123291","5.15212345123291","5.269534111022949","5.269534111022949","5.269534111022949","5.021653175354004","5.021653175354004","5.021653175354004","4.987387180328369","4.987387180328369","4.987387180328369","5.021212100982666","5.021212100982666","5.021212100982666","5.1304755210876465","5.1304755210876465","5.1304755210876465","5.134093761444092","5.134093761444092","5.134093761444092","5.059128761291504","5.059128761291504","5.059128761291504","5.331291675567627","5.331291675567627","5.331291675567627"
"300","5.25386905670166","5.25386905670166","5.25386905670166","4.906068801879883","4.906068801879883","4.906068801879883","4.782754898071289","4.782754898071289","4.782754898071289","4.969833850860596","4.969833850860596","4.969833850860596","4.944948196411133","4.944948196411133","4.944948196411133","4.737995147705078","4.737995147705078","4.737995147705078","4.760402679443359","4.760402679443359","4.760402679443359","4.744752883911133","4.744752883911133","4.744752883911133","4.93720006942749","4.93720006942749","4.93720006942749","4.931234836578369","4.931234836578369","4.931234836578369","4.810564041137695","4.810564041137695","4.810564041137695","5.02462100982666","5.02462100982666","5.02462100982666"
"350","5.16261100769043","5.16261100769043","5.16261100769043","4.725227355957031","4.725227355957031","4.725227355957031","4.602668285369873","4.602668285369873","4.602668285369873","4.823995113372803","4.823995113372803","4.823995113372803","4.813624382019043","4.813624382019043","4.813624382019043","4.511551380157471","4.511551380157471","4.511551380157471","4.557727336883545","4.557727336883545","4.557727336883545","4.549581527709961","4.549581527709961","4.549581527709961","4.8054728507995605","4.8054728507995605","4.8054728507995605","4.788919448852539","4.788919448852539","4.788919448852539","4.646187782287598","4.646187782287598","4.646187782287598","4.7996368408203125","4.7996368408203125","4.7996368408203125"
"400","4.933797359466553","4.933797359466553","4.933797359466553","4.517158508300781","4.517158508300781","4.517158508300781","4.446696758270264","4.446696758270264","4.446696758270264","4.655755519866943","4.655755519866943","4.655755519866943","4.553537368774414","4.553537368774414","4.553537368774414","4.30529260635376","4.30529260635376","4.30529260635376","4.348372459411621","4.348372459411621","4.348372459411621","4.32260274887085","4.32260274887085","4.32260274887085","4.642805576324463","4.642805576324463","4.642805576324463","4.617894172668457","4.617894172668457","4.617894172668457","4.421196460723877","4.421196460723877","4.421196460723877","4.5647101402282715","4.5647101402282715","4.5647101402282715"
"450","4.81980562210083","4.81980562210083","4.81980562210083","4.382065296173096","4.382065296173096","4.382065296173096","4.291347980499268","4.291347980499268","4.291347980499268","4.543951511383057","4.543951511383057","4.543951511383057","4.396395683288574","4.396395683288574","4.396395683288574","4.152431011199951","4.152431011199951","4.152431011199951","4.230374336242676","4.230374336242676","4.230374336242676","4.211118698120117","4.211118698120117","4.211118698120117","4.539594650268555","4.539594650268555","4.539594650268555","4.520991802215576","4.520991802215576","4.520991802215576","4.2792768478393555","4.2792768478393555","4.2792768478393555","4.384486198425293","4.384486198425293","4.384486198425293"
"500","4.859062671661377","4.859062671661377","4.859062671661377","4.266395092010498","4.266395092010498","4.266395092010498","4.191197872161865","4.191197872161865","4.191197872161865","4.436557292938232","4.436557292938232","4.436557292938232","4.24330997467041","4.24330997467041","4.24330997467041","4.062515735626221","4.062515735626221","4.062515735626221","4.135066986083984","4.135066986083984","4.135066986083984","4.067096710205078","4.067096710205078","4.067096710205078","4.423115253448486","4.423115253448486","4.423115253448486","4.419191360473633","4.419191360473633","4.419191360473633","4.178941249847412","4.178941249847412","4.178941249847412","4.215195655822754","4.215195655822754","4.215195655822754"
"550","4.654853820800781","4.654853820800781","4.654853820800781","4.139575004577637","4.139575004577637","4.139575004577637","4.129878997802734","4.129878997802734","4.129878997802734","4.344752788543701","4.344752788543701","4.344752788543701","4.118826389312744","4.118826389312744","4.118826389312744","3.9664175510406494","3.9664175510406494","3.9664175510406494","4.065014839172363","4.065014839172363","4.065014839172363","3.996013641357422","3.996013641357422","3.996013641357422","4.331879138946533","4.331879138946533","4.331879138946533","4.327197074890137","4.327197074890137","4.327197074890137","4.079889297485352","4.079889297485352","4.079889297485352","4.081971168518066","4.081971168518066","4.081971168518066"
"600","4.595266342163086","4.595266342163086","4.595266342163086","4.066714763641357","4.066714763641357","4.066714763641357","4.057836055755615","4.057836055755615","4.057836055755615","4.272198677062988","4.272198677062988","4.272198677062988","4.012855052947998","4.012855052947998","4.012855052947998","3.8938286304473877","3.8938286304473877","3.8938286304473877","3.97322416305542","3.97322416305542","3.97322416305542","3.9305052757263184","3.9305052757263184","3.9305052757263184","4.284335613250732","4.284335613250732","4.284335613250732","4.249020576477051","4.249020576477051","4.249020576477051","4.009356498718262","4.009356498718262","4.009356498718262","3.9886560440063477","3.9886560440063477","3.9886560440063477"
"650","4.56182861328125","4.56182861328125","4.56182861328125","4.055291652679443","4.055291652679443","4.055291652679443","3.994856834411621","3.994856834411621","3.994856834411621","4.241429328918457","4.241429328918457","4.241429328918457","3.9420924186706543","3.9420924186706543","3.9420924186706543","3.8496198654174805","3.8496198654174805","3.8496198654174805","3.9397926330566406","3.9397926330566406","3.9397926330566406","3.869029998779297","3.869029998779297","3.869029998779297","4.229219913482666","4.229219913482666","4.229219913482666","4.215541362762451","4.215541362762451","4.215541362762451","3.9813382625579834","3.9813382625579834","3.9813382625579834","3.9271674156188965","3.9271674156188965","3.9271674156188965"
"700","4.4413299560546875","4.4413299560546875","4.4413299560546875","3.9761457443237305","3.9761457443237305","3.9761457443237305","3.9555187225341797","3.9555187225341797","3.9555187225341797","4.1858744621276855","4.1858744621276855","4.1858744621276855","3.879380702972412","3.879380702972412","3.879380702972412","3.791851282119751","3.791851282119751","3.791851282119751","3.8910422325134277","3.8910422325134277","3.8910422325134277","3.810565233230591","3.810565233230591","3.810565233230591","4.166914463043213","4.166914463043213","4.166914463043213","4.16520881652832","4.16520881652832","4.16520881652832","3.9358716011047363","3.9358716011047363","3.9358716011047363","3.8831160068511963","3.8831160068511963","3.8831160068511963"
"750","4.383120536804199","4.383120536804199","4.383120536804199","3.9325125217437744","3.9325125217437744","3.9325125217437744","3.9160499572753906","3.9160499572753906","3.9160499572753906","4.139184951782227","4.139184951782227","4.139184951782227","3.8277390003204346","3.8277390003204346","3.8277390003204346","3.755244255065918","3.755244255065918","3.755244255065918","3.843144178390503","3.843144178390503","3.843144178390503","3.7759811878204346","3.7759811878204346","3.7759811878204346","4.125588893890381","4.125588893890381","4.125588893890381","4.119678497314453","4.119678497314453","4.119678497314453","3.886895179748535","3.886895179748535","3.886895179748535","3.819807291030884","3.819807291030884","3.819807291030884"
"800","4.368382453918457","4.368382453918457","4.368382453918457","3.887820243835449","3.887820243835449","3.887820243835449","3.8592538833618164","3.8592538833618164","3.8592538833618164","4.098231315612793","4.098231315612793","4.098231315612793","3.7855968475341797","3.7855968475341797","3.7855968475341797","3.724987745285034","3.724987745285034","3.724987745285034","3.8182291984558105","3.8182291984558105","3.8182291984558105","3.735690116882324","3.735690116882324","3.735690116882324","4.0975470542907715","4.0975470542907715","4.0975470542907715","4.092449188232422","4.092449188232422","4.092449188232422","3.8476829528808594","3.8476829528808594","3.8476829528808594","3.7887277603149414","3.7887277603149414","3.7887277603149414"
"850","","","","3.841210126876831","3.841210126876831","3.841210126876831","3.8399274349212646","3.8399274349212646","3.8399274349212646","4.0576910972595215","4.0576910972595215","4.0576910972595215","3.7397494316101074","3.7397494316101074","3.7397494316101074","3.6874020099639893","3.6874020099639893","3.6874020099639893","","","","3.704725503921509","3.704725503921509","3.704725503921509","","","","4.041058540344238","4.041058540344238","4.041058540344238","3.8162012100219727","3.8162012100219727","3.8162012100219727","3.7340941429138184","3.7340941429138184","3.7340941429138184"
"900","4.1825761795043945","4.1825761795043945","4.1825761795043945","3.807804584503174","3.807804584503174","3.807804584503174","3.7884879112243652","3.7884879112243652","3.7884879112243652","4.0238213539123535","4.0238213539123535","4.0238213539123535","3.686102867126465","3.686102867126465","3.686102867126465","3.6529202461242676","3.6529202461242676","3.6529202461242676","3.747602701187134","3.747602701187134","3.747602701187134","3.6760873794555664","3.6760873794555664","3.6760873794555664","4.0145368576049805","4.0145368576049805","4.0145368576049805","4.010153770446777","4.010153770446777","4.010153770446777","3.7738382816314697","3.7738382816314697","3.7738382816314697","3.6759164333343506","3.6759164333343506","3.6759164333343506"
"950","4.134909152984619","4.134909152984619","4.134909152984619","3.757427453994751","3.757427453994751","3.757427453994751","3.7557220458984375","3.7557220458984375","3.7557220458984375","3.976280689239502","3.976280689239502","3.976280689239502","3.64898681640625","3.64898681640625","3.64898681640625","3.6235225200653076","3.6235225200653076","3.6235225200653076","3.7176754474639893","3.7176754474639893","3.7176754474639893","3.6230757236480713","3.6230757236480713","3.6230757236480713","3.9868791103363037","3.9868791103363037","3.9868791103363037","3.979182720184326","3.979182720184326","3.979182720184326","3.74239444732666","3.74239444732666","3.74239444732666","3.6434383392333984","3.6434383392333984","3.6434383392333984"
"1000","4.068930149078369","4.068930149078369","4.068930149078369","3.73555850982666","3.73555850982666","3.73555850982666","3.7209129333496094","3.7209129333496094","3.7209129333496094","3.9522228240966797","3.9522228240966797","3.9522228240966797","3.6110544204711914","3.6110544204711914","3.6110544204711914","3.584883213043213","3.584883213043213","3.584883213043213","3.677600622177124","3.677600622177124","3.677600622177124","3.603851079940796","3.603851079940796","3.603851079940796","3.9415132999420166","3.9415132999420166","3.9415132999420166","3.9409968852996826","3.9409968852996826","3.9409968852996826","3.7076706886291504","3.7076706886291504","3.7076706886291504","3.605997323989868","3.605997323989868","3.605997323989868"
"1050","4.005251407623291","4.005251407623291","4.005251407623291","3.694333791732788","3.694333791732788","3.694333791732788","3.6837942600250244","3.6837942600250244","3.6837942600250244","3.9211533069610596","3.9211533069610596","3.9211533069610596","3.5822110176086426","3.5822110176086426","3.5822110176086426","3.5610623359680176","3.5610623359680176","3.5610623359680176","3.6547553539276123","3.6547553539276123","3.6547553539276123","3.575800657272339","3.575800657272339","3.575800657272339","3.916343927383423","3.916343927383423","3.916343927383423","3.915658950805664","3.915658950805664","3.915658950805664","3.686586380004883","3.686586380004883","3.686586380004883","3.5775229930877686","3.5775229930877686","3.5775229930877686"
"1100","3.9376397132873535","3.9376397132873535","3.9376397132873535","3.6580610275268555","3.6580610275268555","3.6580610275268555","3.6667368412017822","3.6667368412017822","3.6667368412017822","3.889174461364746","3.889174461364746","3.889174461364746","3.5507543087005615","3.5507543087005615","3.5507543087005615","3.53234601020813","3.53234601020813","3.53234601020813","3.640479326248169","3.640479326248169","3.640479326248169","3.540691614151001","3.540691614151001","3.540691614151001","3.8946475982666016","3.8946475982666016","3.8946475982666016","3.894857168197632","3.894857168197632","3.894857168197632","3.6631734371185303","3.6631734371185303","3.6631734371185303","3.550856113433838","3.550856113433838","3.550856113433838"
"1150","3.882763624191284","3.882763624191284","3.882763624191284","3.6275177001953125","3.6275177001953125","3.6275177001953125","3.6487622261047363","3.6487622261047363","3.6487622261047363","3.8750741481781006","3.8750741481781006","3.8750741481781006","3.515735626220703","3.515735626220703","3.515735626220703","3.5018372535705566","3.5018372535705566","3.5018372535705566","3.6089112758636475","3.6089112758636475","3.6089112758636475","3.5245471000671387","3.5245471000671387","3.5245471000671387","3.8647212982177734","3.8647212982177734","3.8647212982177734","3.862393856048584","3.862393856048584","3.862393856048584","3.63199782371521","3.63199782371521","3.63199782371521","3.513514280319214","3.513514280319214","3.513514280319214"
"1200","3.8533740043640137","3.8533740043640137","3.8533740043640137","3.6065187454223633","3.6065187454223633","3.6065187454223633","3.6310012340545654","3.6310012340545654","3.6310012340545654","3.85660982131958","3.85660982131958","3.85660982131958","3.4956533908843994","3.4956533908843994","3.4956533908843994","3.488661766052246","3.488661766052246","3.488661766052246","3.588810682296753","3.588810682296753","3.588810682296753","3.514622688293457","3.514622688293457","3.514622688293457","3.849717617034912","3.849717617034912","3.849717617034912","3.8515169620513916","3.8515169620513916","3.8515169620513916","3.622037649154663","3.622037649154663","3.622037649154663","3.49318528175354","3.49318528175354","3.49318528175354"
"1250","3.8248229026794434","3.8248229026794434","3.8248229026794434","3.5877602100372314","3.5877602100372314","3.5877602100372314","3.6150479316711426","3.6150479316711426","3.6150479316711426","3.8401830196380615","3.8401830196380615","3.8401830196380615","3.48159122467041","3.48159122467041","3.48159122467041","3.478384017944336","3.478384017944336","3.478384017944336","3.582627534866333","3.582627534866333","3.582627534866333","3.4969165325164795","3.4969165325164795","3.4969165325164795","3.8391029834747314","3.8391029834747314","3.8391029834747314","3.839972734451294","3.839972734451294","3.839972734451294","3.6116154193878174","3.6116154193878174","3.6116154193878174","3.4844377040863037","3.4844377040863037","3.4844377040863037"
"1300","3.800060749053955","3.800060749053955","3.800060749053955","3.569181203842163","3.569181203842163","3.569181203842163","3.592116117477417","3.592116117477417","3.592116117477417","3.8258979320526123","3.8258979320526123","3.8258979320526123","3.458965301513672","3.458965301513672","3.458965301513672","3.4600331783294678","3.4600331783294678","3.4600331783294678","3.5684454441070557","3.5684454441070557","3.5684454441070557","3.487776756286621","3.487776756286621","3.487776756286621","3.8264503479003906","3.8264503479003906","3.8264503479003906","3.826446533203125","3.826446533203125","3.826446533203125","3.595262050628662","3.595262050628662","3.595262050628662","3.4634692668914795","3.4634692668914795","3.4634692668914795"
"1350","3.749379873275757","3.749379873275757","3.749379873275757","3.5511281490325928","3.5511281490325928","3.5511281490325928","3.579958438873291","3.579958438873291","3.579958438873291","3.8079755306243896","3.8079755306243896","3.8079755306243896","3.4464633464813232","3.4464633464813232","3.4464633464813232","3.4537899494171143","3.4537899494171143","3.4537899494171143","3.5577614307403564","3.5577614307403564","3.5577614307403564","3.4685699939727783","3.4685699939727783","3.4685699939727783","3.8133952617645264","3.8133952617645264","3.8133952617645264","3.8154990673065186","3.8154990673065186","3.8154990673065186","3.5891571044921875","3.5891571044921875","3.5891571044921875","3.4556896686553955","3.4556896686553955","3.4556896686553955"
"1400","3.716397523880005","3.716397523880005","3.716397523880005","3.5268659591674805","3.5268659591674805","3.5268659591674805","3.589345693588257","3.589345693588257","3.589345693588257","3.79565167427063","3.79565167427063","3.79565167427063","3.4237148761749268","3.4237148761749268","3.4237148761749268","3.435037612915039","3.435037612915039","3.435037612915039","3.5404131412506104","3.5404131412506104","3.5404131412506104","3.45682430267334","3.45682430267334","3.45682430267334","3.7975659370422363","3.7975659370422363","3.7975659370422363","3.799055814743042","3.799055814743042","3.799055814743042","3.570702075958252","3.570702075958252","3.570702075958252","3.432253837585449","3.432253837585449","3.432253837585449"
"1450","3.692155599594116","3.692155599594116","3.692155599594116","3.513758420944214","3.513758420944214","3.513758420944214","3.575789451599121","3.575789451599121","3.575789451599121","3.8092217445373535","3.8092217445373535","3.8092217445373535","3.4121875762939453","3.4121875762939453","3.4121875762939453","3.4236361980438232","3.4236361980438232","3.4236361980438232","3.5305044651031494","3.5305044651031494","3.5305044651031494","3.4716074466705322","3.4716074466705322","3.4716074466705322","3.788001537322998","3.788001537322998","3.788001537322998","3.7902207374572754","3.7902207374572754","3.7902207374572754","3.560809850692749","3.560809850692749","3.560809850692749","3.421572208404541","3.421572208404541","3.421572208404541"
"1500","3.6881449222564697","3.6881449222564697","3.6881449222564697","3.5230157375335693","3.5230157375335693","3.5230157375335693","3.571011543273926","3.571011543273926","3.571011543273926","3.7995598316192627","3.7995598316192627","3.7995598316192627","3.420642137527466","3.420642137527466","3.420642137527466","3.43727707862854","3.43727707862854","3.43727707862854","3.5457682609558105","3.5457682609558105","3.5457682609558105","3.4590566158294678","3.4590566158294678","3.4590566158294678","3.802412748336792","3.802412748336792","3.802412748336792","3.804384231567383","3.804384231567383","3.804384231567383","3.576331615447998","3.576331615447998","3.576331615447998","3.4364359378814697","3.4364359378814697","3.4364359378814697"
"1550","3.6620373725891113","3.6620373725891113","3.6620373725891113","3.509023666381836","3.509023666381836","3.509023666381836","3.569359302520752","3.569359302520752","3.569359302520752","3.795508861541748","3.795508861541748","3.795508861541748","3.4061734676361084","3.4061734676361084","3.4061734676361084","3.4256606101989746","3.4256606101989746","3.4256606101989746","3.5360424518585205","3.5360424518585205","3.5360424518585205","3.4563863277435303","3.4563863277435303","3.4563863277435303","3.793724536895752","3.793724536895752","3.793724536895752","3.7970900535583496","3.7970900535583496","3.7970900535583496","3.565929651260376","3.565929651260376","3.565929651260376","3.4218292236328125","3.4218292236328125","3.4218292236328125"
"1600","3.647181510925293","3.647181510925293","3.647181510925293","3.504378080368042","3.504378080368042","3.504378080368042","3.559081792831421","3.559081792831421","3.559081792831421","3.7948484420776367","3.7948484420776367","3.7948484420776367","3.4025981426239014","3.4025981426239014","3.4025981426239014","3.4231302738189697","3.4231302738189697","3.4231302738189697","3.533780097961426","3.533780097961426","3.533780097961426","3.462573766708374","3.462573766708374","3.462573766708374","3.790900707244873","3.790900707244873","3.790900707244873","3.794398546218872","3.794398546218872","3.794398546218872","3.564105272293091","3.564105272293091","3.564105272293091","3.418030023574829","3.418030023574829","3.418030023574829"
"1650","3.639072895050049","3.639072895050049","3.639072895050049","3.503056526184082","3.503056526184082","3.503056526184082","3.527648448944092","3.527648448944092","3.527648448944092","3.7845969200134277","3.7845969200134277","3.7845969200134277","3.407184362411499","3.407184362411499","3.407184362411499","3.4304120540618896","3.4304120540618896","3.4304120540618896","3.5384628772735596","3.5384628772735596","3.5384628772735596","3.4533586502075195","3.4533586502075195","3.4533586502075195","3.791465997695923","3.791465997695923","3.791465997695923","3.7952041625976562","3.7952041625976562","3.7952041625976562","3.569333553314209","3.569333553314209","3.569333553314209","3.423630714416504","3.423630714416504","3.423630714416504"
"1700","3.6205313205718994","3.6205313205718994","3.6205313205718994","3.4930036067962646","3.4930036067962646","3.4930036067962646","3.518547296524048","3.518547296524048","3.518547296524048","3.7560579776763916","3.7560579776763916","3.7560579776763916","3.3986012935638428","3.3986012935638428","3.3986012935638428","3.420902967453003","3.420902967453003","3.420902967453003","3.5305891036987305","3.5305891036987305","3.5305891036987305","3.424866199493408","3.424866199493408","3.424866199493408","3.783287763595581","3.783287763595581","3.783287763595581","3.786486864089966","3.786486864089966","3.786486864089966","3.561325788497925","3.561325788497925","3.561325788497925","3.4142420291900635","3.4142420291900635","3.4142420291900635"
"1750","3.5855093002319336","3.5855093002319336","3.5855093002319336","3.462144374847412","3.462144374847412","3.462144374847412","3.509307622909546","3.509307622909546","3.509307622909546","3.745943307876587","3.745943307876587","3.745943307876587","3.3681955337524414","3.3681955337524414","3.3681955337524414","3.3912806510925293","3.3912806510925293","3.3912806510925293","3.5018811225891113","3.5018811225891113","3.5018811225891113","3.415928840637207","3.415928840637207","3.415928840637207","3.75445818901062","3.75445818901062","3.75445818901062","3.757537841796875","3.757537841796875","3.757537841796875","3.5327398777008057","3.5327398777008057","3.5327398777008057","3.3849995136260986","3.3849995136260986","3.3849995136260986"